2022-05-19 11:05:152 INFO  NewAndUsedCarSearchPage :55 - Click on Location : [[ChromeDriver: chrome on WINDOWS (4ea573611912c8c4a3c444cdf6750ea7)] -> xpath: //select[@id='locations']]
2022-05-19 11:05:261 INFO  NewAndUsedCarSearchPage :60 - Click on Price : [[ChromeDriver: chrome on WINDOWS (4ea573611912c8c4a3c444cdf6750ea7)] -> xpath: //select[@id='priceTo']]
2022-05-19 11:05:770 INFO  NewAndUsedCarSearchPage :65 - Click on find my next Car Button : [[ChromeDriver: chrome on WINDOWS (4ea573611912c8c4a3c444cdf6750ea7)] -> xpath: //input[@id='search-submit']]
2022-05-19 11:05:854 INFO  SearchResultPage :24 - Getting a Result for Verification : [[ChromeDriver: chrome on WINDOWS (4ea573611912c8c4a3c444cdf6750ea7)] -> xpath: //h1[@class='listing-search-title']]
2022-05-19 11:05:706 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 11:05:343 INFO  HomePage :29 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (361d94c5eccf815a5d2b29e5c929070c)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 11:05:595 INFO  HomePage :34 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (361d94c5eccf815a5d2b29e5c929070c)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 11:05:128 INFO  NewAndUsedCarSearchPage :39 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (361d94c5eccf815a5d2b29e5c929070c)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 11:05:646 INFO  NewAndUsedCarSearchPage :45 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (361d94c5eccf815a5d2b29e5c929070c)] -> xpath: //select[@id='makes']]
2022-05-19 11:05:827 INFO  NewAndUsedCarSearchPage :50 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (361d94c5eccf815a5d2b29e5c929070c)] -> xpath: //select[@id='models']]
2022-05-19 11:05:933 INFO  NewAndUsedCarSearchPage :55 - Click on Location : [[ChromeDriver: chrome on WINDOWS (361d94c5eccf815a5d2b29e5c929070c)] -> xpath: //select[@id='locations']]
2022-05-19 11:05:42 INFO  NewAndUsedCarSearchPage :60 - Click on Price : [[ChromeDriver: chrome on WINDOWS (361d94c5eccf815a5d2b29e5c929070c)] -> xpath: //select[@id='priceTo']]
2022-05-19 11:05:123 INFO  NewAndUsedCarSearchPage :65 - Click on find my next Car Button : [[ChromeDriver: chrome on WINDOWS (361d94c5eccf815a5d2b29e5c929070c)] -> xpath: //input[@id='search-submit']]
2022-05-19 11:05:171 INFO  SearchResultPage :24 - Getting a Result for Verification : [[ChromeDriver: chrome on WINDOWS (361d94c5eccf815a5d2b29e5c929070c)] -> xpath: //h1[@class='listing-search-title']]
2022-05-19 11:05:128 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 11:05:753 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 11:05:560 INFO  HomePage :29 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (bee09b5a0c33be1e1da3fcf6a7812778)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 11:05:742 INFO  HomePage :34 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (bee09b5a0c33be1e1da3fcf6a7812778)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 11:05:505 INFO  NewAndUsedCarSearchPage :39 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (bee09b5a0c33be1e1da3fcf6a7812778)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 11:05:484 INFO  NewAndUsedCarSearchPage :45 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (bee09b5a0c33be1e1da3fcf6a7812778)] -> xpath: //select[@id='makes']]
2022-05-19 11:05:652 INFO  NewAndUsedCarSearchPage :50 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (bee09b5a0c33be1e1da3fcf6a7812778)] -> xpath: //select[@id='models']]
